"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"b3702",4897.89806889733,-1.40722178524273,0.178612130209847,-7.87864622402419,3.30947048611469e-15,3.31885905486962e-14
"b3703",4830.57875443128,-1.92536915755029,0.195490188186815,-9.84892988956746,6.92776298341153e-23,1.28892853401894e-21
"b3704",1431.01910106469,-3.00620499292713,0.24139555756106,-12.4534395881197,1.33945670798668e-35,5.07319228149955e-34
"b4557",356.828318985372,-3.09064100790419,0.283934908239515,-10.8850335700782,1.35848565536195e-27,3.60168509377838e-26
"b3705",10180.2390305151,-2.00228470239837,0.171439821157966,-11.6792276664442,1.62767698647701e-31,5.39422326299648e-30
"b3706",1454.97214264491,-0.679516116290425,0.183030356877985,-3.71258696033366,0.000205151538696203,0.000550444545951482
"b3707",6183.50956348379,-3.63294383566732,0.246934381161466,-14.7121831256532,5.38419738000202e-49,2.81972410937884e-47
"b3708",128999.643754412,-1.85364794162726,0.266039011385646,-6.96757942368174,3.22440429117768e-12,2.39543310038104e-11
"b3710",286.094776956104,-1.81572518245197,0.290097129601534,-6.25902498568662,3.87391809001944e-10,2.28874102198642e-09
"b3711",329.024578764118,-0.588434554137157,0.261622423371038,-2.2491747708591,0.0245013789387886,0.0427012528588091
"b3713",1368.21517942347,0.817442312417191,0.185721245249586,4.40144750978087,1.07531083617187e-05,3.64043780290588e-05
"b3714",1704.20075411256,-1.79882359403041,0.244270559823243,-7.36406219125245,1.78396517465542e-13,1.51351605417766e-12
"b3715",214.693332927686,-1.21462700027589,0.325214286102883,-3.73485130321624,0.000187826132632318,0.000508461043156536
"b3716",85.4667404481767,-3.74171846362603,0.49736010445087,-7.52315762792678,5.34688950451768e-14,4.89881323502462e-13
"b3717",166.771929161097,-1.94212325612989,0.347775394250836,-5.58441824302589,2.34483791303344e-08,1.11636390876407e-07
"b3718",69.2204608286251,-1.33822336948905,0.467822484599763,-2.86053666410228,0.00422924647356759,0.00879789873910536
"b3720",33.49639382402,-4.09524666488037,0.967406710724008,-4.23322127031296,2.30367647743795e-05,7.34751550172313e-05
"b3721",25.1276217780231,-2.6482778771771,0.846299073082927,-3.12924586757476,0.0017525559699552,0.0039231358440897
"b3722",928.158024144268,-3.40963417310302,0.320977189232845,-10.622668175431,2.33781678319429e-26,5.69943608868402e-25
"b3723",34.5103065778858,-4.80920635128207,0.928764639255528,-5.17806788503167,2.24195656906748e-07,9.44426987684634e-07
"b3726",616.813937877757,-0.693746722850627,0.26029283143224,-2.66525481717396,0.00769300061028545,0.0151362284734837
"b3727",499.510328757478,-1.26852109840652,0.277367733716874,-4.57342705803473,4.79810765633762e-06,1.69049606961663e-05
"b3728",1229.22693535833,-1.84852571661118,0.29746371045601,-6.21428984993631,5.15572826115936e-10,2.99597250463534e-09
"b3729",14233.1623321947,-1.13704604729095,0.180926076907948,-6.28458908037598,3.28722003958129e-10,1.9557345593133e-09
"b3730",7351.06141379475,-0.814984845006375,0.164905723407703,-4.94212588966035,7.72752896368781e-07,3.05500259682793e-06
"b3734",24878.9403998344,-0.586883837098697,0.17127920023735,-3.42647464657368,0.000611470842745381,0.00150893502904357
"b3735",5218.16724482418,-0.605853177355344,0.177093332781108,-3.42109535034949,0.000623694614356468,0.00153552672901923
"b3736",8366.49897429319,-0.889407137574706,0.165733972289107,-5.36647450905975,8.02905418334201e-08,3.5258020544241e-07
"b3737",4692.35698978227,-0.695229461364734,0.170431013322114,-4.07924266724128,4.51826536465559e-05,0.000135452167327696
"b3738",6782.83003465471,-1.36004094964539,0.198942596279133,-6.83634865072907,8.1237096780063e-12,5.73390623196385e-11
"b3739",2267.12582673335,-1.96248163792552,0.193595560689642,-10.1370177649457,3.78477737447701e-24,7.98757493658282e-23
"b3740",629.433667019391,-0.97200166059889,0.254996276322206,-3.81182688083922,0.00013794347893181,0.000381955768687165
"b3741",4443.10397761491,-1.80665312584255,0.19973205813245,-9.04538381437236,1.49140300102021e-19,2.21207396165305e-18
"b3742",1788.84251662427,-1.41103117294844,0.200601617576443,-7.03399698365214,2.00699464490856e-12,1.5257475418821e-11
"b3743",175.161061544851,-1.01620544632003,0.325764973042271,-3.1194435572058,0.00181192971773302,0.00404537150664393
"b3744",6554.41006871122,-1.35948520138409,0.231917033780136,-5.86194631427081,4.57472945457898e-09,2.35509737212671e-08
"b3747",1088.77199397302,-0.759995133745751,0.225716202598921,-3.36703845357614,0.000759800929320758,0.00183865881423109
"b3748",5127.04692222429,-0.625224239310999,0.253305876049223,-2.4682579380413,0.0135772445447096,0.025183502998976
"b3751",10830.926506533,0.687491746299777,0.252123898398632,2.72680119047178,0.00639515579265776,0.0127362680152367
"b3753",481.122830580775,-0.624140762325436,0.26759882431741,-2.33237482981284,0.0196809810494205,0.0351375090958088
"b3764",1912.10059738197,-1.72173515088214,0.191417095006266,-8.99467809197387,2.36925499613223e-19,3.46564817020446e-18
"b3765",621.052082280316,-1.03205498318083,0.291877548978527,-3.53591767092973,0.000406361312911112,0.00103717490335074
"b3769",19.7239121329605,-2.69410805187383,0.914975377677443,-2.9444596189162,0.00323519160792913,0.0068589683811005
"b3770",699.426742677334,0.482264280197941,0.208727164138018,2.31050080227723,0.0208604441725947,0.0369632431830186
"b3771",879.976631479917,0.541688499534616,0.203993273687555,2.65542333696889,0.00792089353792358,0.01554136465674
"b3775",581.844000439785,-1.79440848890061,0.288408549456608,-6.22175900222607,4.91611774529531e-10,2.86458399389323e-09
"b3778",1131.1799184401,-0.773294261529374,0.263197954939477,-2.93807093488699,0.00330261449481543,0.00699086361627099
"b3779",4799.50457192812,-0.680688254726136,0.180033446986041,-3.78089886141499,0.000156263150491518,0.000429583577334716
"b3781",9614.74622354741,0.839537681270682,0.161637295294998,5.19396021653588,2.05867151457733e-07,8.68079976623961e-07
"b3782",1571.12937265167,-1.05199138002838,0.179867664381723,-5.84869650498044,4.95440106618029e-09,2.5351712090153e-08
"b3783",12251.2418733089,-1.34063983505873,0.187228606419425,-7.16044337827019,8.04165406094477e-13,6.36430905345666e-12
"b3784",1989.95808647509,-1.54999319455733,0.186217367852701,-8.32356945235837,8.53532271174577e-17,9.91968190225358e-16
"b3785",2057.37751311855,-1.23340601975463,0.19409808979141,-6.35455001685035,2.09037624424173e-10,1.26858026152696e-09
"b3786",1271.21797573724,-1.38355922798295,0.194285877705365,-7.12125474236026,1.06948910155428e-12,8.41701812392072e-12
"b3787",1549.05127441284,-1.27922076782029,0.220582122997587,-5.79929484056278,6.65943557112626e-09,3.3601129179146e-08
"b3788",1188.80709765941,-1.14199755194856,0.216117567291639,-5.2841495777504,1.26290035784249e-07,5.43328936913574e-07
"b3789",959.925698295632,-0.848464176311253,0.193031035061231,-4.3954806336821,1.10527918415931e-05,3.73593171251297e-05
"b3790",448.790684937741,-1.18045367959168,0.236678504240849,-4.98758298045701,6.11393621944913e-07,2.43982290149607e-06
"b3791",1139.80331493886,-0.566389096962037,0.202741280538021,-2.79365453083355,0.00521161219773517,0.0105677145998053
"b3792",763.013458911045,-1.00193112189003,0.214309769220564,-4.67515375306506,2.93733469321118e-06,1.06954281275552e-05
"b4481",634.745895107608,-0.741952559809616,0.223169517802099,-3.32461425340158,0.000885409465351673,0.00211719670350721
"b3793",456.797019908748,-0.90195514665116,0.250263669483474,-3.60401950675754,0.000313333524637835,0.00081343990912711
"b3795",1244.82073118025,-1.53748526865252,0.186648781099339,-8.23731748794132,1.76114687502649e-16,1.9975361079846e-15
"b3800",531.22902751292,-1.68948267128586,0.404228624788541,-4.17952259607953,2.92121694379597e-05,9.09823955622798e-05
"b3801",338.681020449778,-1.58600096019044,0.396265410519104,-4.00237042671171,6.27110132147855e-05,0.00018371555114442
"b3802",3883.45653762358,0.453280856081298,0.173930435507842,2.60610430116965,0.00915785701255044,0.0176499906620804
"b3803",3267.90014589295,0.688473953093539,0.169892380845734,4.05241217802869,5.0692255139185e-05,0.000150902839509069
"b3804",1324.79365243537,0.912005711007413,0.183344232338688,4.97428088887293,6.5490291531623e-07,2.60609584124901e-06
"b3805",3833.4622042292,1.07735980461387,0.17481574205692,6.16283060059362,7.14559382785372e-10,4.05235414675875e-09
"b3806",9528.4548238878,0.680083127660335,0.166570045661946,4.08286570948394,4.44837309149306e-05,0.000133545638033359
"b4558",1408.20902847536,1.28840856226108,0.217654640859267,5.91950880153368,3.22904559457981e-09,1.69315345021107e-08
"b3809",3098.1214126928,0.865027322301882,0.169545908539528,5.10202416415263,3.36039831952283e-07,1.38396210402096e-06
"b3813",6085.55215623915,-0.923527168426905,0.164886777187415,-5.60097773866485,2.13146111736748e-08,1.01935265612997e-07
"b4482",177.65366348706,-2.91336063691494,0.397590707797637,-7.3275370369012,2.3442089787535e-13,1.96136774908725e-12
"b4799",60.4833536966697,-1.87916925761053,0.516495522812534,-3.63830696416818,0.000274436211147032,0.000720841119310037
"b3816",1473.06289129594,-1.9749059528614,0.219664272037618,-8.990565168118,2.45962333683407e-19,3.58547154462203e-18
"b3817",42.1417185837755,-2.90426133473898,0.676371527086135,-4.2938846749667,1.75573698943293e-05,5.74678727559759e-05
"b3818",21.6063793391754,-3.69660040774499,1.09893176638597,-3.36381249574929,0.000768737518545178,0.0018570527071006
"b3819",313.513929893989,-1.19241316902731,0.28937853778275,-4.12059988333519,3.77887195087056e-05,0.000114910213731849
"b3820",244.148229617181,-1.76182899974608,0.29556660476106,-5.96085271937392,2.50925051749539e-09,1.32555923975286e-08
"b3821",675.408447885368,-1.48024939406282,0.22716234248357,-6.51626223730233,7.20809167020251e-11,4.5980037390976e-10
"b3822",1349.80044463924,-1.36570667309428,0.187313205949624,-7.29103250446512,3.07588539352189e-13,2.53357394938249e-12
"b3823",1004.45561601128,0.775947976797671,0.196050276316887,3.95790300006241,7.56106492282804e-05,0.000218487993205971
"b3828",981.555750788541,3.74089197696491,0.410165116953538,9.12045374494553,7.48104509238797e-20,1.1415321324428e-18
"b3829",1837.32599665015,2.72413056901002,0.74363731537902,3.66325157798405,0.000249033731379054,0.00065819382461679
"b3830",2041.32260257107,0.698252284570545,0.238207984398153,2.93127153707597,0.00337577567898566,0.00713860440192282
"b3832",4441.95599865403,-2.11077281688656,0.241697957935969,-8.73310157401394,2.47782385173789e-18,3.28466524346004e-17
"b3833",4516.64355581151,-0.798072200246377,0.212117332306574,-3.76240918914122,0.000168284420509507,0.00045878053457669
"b3834",2425.33130273264,-0.868711936970078,0.23165433153396,-3.75003537044903,0.000176809629120521,0.000480170580492478
"b3835",3922.89754187136,-0.939595657045525,0.239417002823484,-3.92451515959484,8.69045869729943e-05,0.000249255752494552
"b3839",1602.30783936561,-1.03741317270875,0.200383454699416,-5.17713987047938,2.2531329913045e-07,9.48193467173977e-07
"b4483",564.58848252132,-1.01176193400549,0.217429299187006,-4.65329161151965,3.26677735395883e-06,1.17537485457959e-05
"b3842",441.280511277821,-1.09104956922453,0.266186745548159,-4.09881253470276,4.15275209027948e-05,0.000125444380808936
"b3843",6859.10059895774,0.379364741183862,0.169578989006769,2.23709755203647,0.0252799649317512,0.0437704535675464
"b3846",5911.39120071153,-1.63829371969718,0.310039143295362,-5.28415122775786,1.26288897665959e-07,5.43328936913574e-07
"b3858",968.619105576503,1.40735362735562,0.197826871217557,7.11406705617816,1.12672364559988e-12,8.81067269150633e-12
"b3859",1356.79219607028,-0.754811126711425,0.234717161387359,-3.21583271649124,0.00130066625424537,0.00299697243373649
"b3861",89.925285539763,-2.80942468089081,0.51546495378003,-5.45027292406325,5.02925799768923e-08,2.27685298038396e-07
"b3862",160.43311591752,-3.08962391919652,0.425259974743817,-7.26525914191139,3.7232379361021e-13,3.04902998551064e-12
"b3863",7510.73001841835,1.53804348223814,0.206665382795355,7.44219211478269,9.90280626302307e-14,8.88112138852936e-13
"b3866",2200.53435173495,0.827691790322499,0.173336130360402,4.77506789035589,1.79646638615149e-06,6.76786004445348e-06
"b4686",602.249978944341,-0.735492392029199,0.234557554233021,-3.1356585143215,0.00171468735166031,0.00384648532297357
"b3868",753.942496734651,1.09907252771479,0.260873818165105,4.21304267114763,2.51953441151922e-05,7.97601863706307e-05
"b3871",9213.81292411272,-1.0452726221272,0.273659171710502,-3.81961479892577,0.000133660242073423,0.000370821940402526
"b3872",298.610931044125,1.03179435335507,0.256943064614495,4.01565364258078,5.92812636083381e-05,0.000174390513333267
"b3873",283.632913140767,1.29632873098629,0.345272096415444,3.75451345314191,0.000173678517134002,0.000471969423243073
"b3875",16.5488169398972,-3.26279607073513,1.28611108563465,-2.53694731907629,0.0111823780214777,0.0211012667113471
"b3876",54.8278726959551,-1.43100203821531,0.538507827554021,-2.65734677379738,0.0078758383706015,0.0154744355572448
"b3877",60.5644020953816,-1.62139806972389,0.547208150296798,-2.96303713467072,0.00304619817166328,0.00648367919929534
"b3878",63.9128585942105,-1.24988713773907,0.544910996821019,-2.29374548326395,0.0218051225237394,0.0384924385125687
"b3884",549.997350557676,-1.42720658323224,0.258418614026784,-5.52284744892379,3.33549323962612e-08,1.55144323711557e-07
"b3886",1042.30739572834,0.71333556634832,0.220793131522293,3.23078694264679,0.00123449922883888,0.00287102287759568
"b3888",1185.71542045944,0.517295868653929,0.196313408352243,2.63505113071926,0.00841246098294379,0.016354564385723
"b3896",70.0331838505747,-1.24456931497507,0.438054343709272,-2.84112994848208,0.00449539903089517,0.00929312021883885
"b3897",93.9796837784964,-2.20816726322353,0.46731720239306,-4.72520003953598,2.2988894255903e-06,8.51693357498169e-06
"b3909",219.868783421904,-1.32365675516837,0.318040717921862,-4.16190971966543,3.15597128882023e-05,9.77913090370739e-05
"b3911",2994.52821353105,0.401870543928505,0.171754587492687,2.33979510995953,0.019294321545475,0.0345343932472174
"b3912",2186.75168766528,0.422927752675282,0.179622282975985,2.35453945728897,0.0185456746638266,0.033306838240454
"b4484",6860.60882842593,-0.990556168312658,0.277853719862384,-3.5650275576777,0.000363817959941979,0.000935910118904714
"b3916",6751.2714309219,0.468233983149278,0.173357981521107,2.70096582251835,0.00691384428551248,0.0137049193734317
"b3918",160.925516587483,-2.76153702736892,0.373336024778089,-7.39692085437073,1.39378564124471e-13,1.20662014084899e-12
"b3919",10203.5226051391,0.806913810447688,0.170928592899533,4.72076553582799,2.34958654855777e-06,8.69716067974002e-06
"b3920",178.858378040184,-0.69441292085538,0.297406481514051,-2.33489504774822,0.0195489041308602,0.0349417688777106
"b3922",830.476961067608,2.21170129618063,0.21061172303052,10.5013209348282,8.51797160908363e-26,2.00740197587404e-24
"b3923",1079.07428739411,2.18954366997644,0.208193748132803,10.5168560036672,7.22441460673329e-26,1.71206518222138e-24
"b3925",1031.17312926341,-0.90765981490527,0.196124975414573,-4.62796649425521,3.69273741183903e-06,1.31524702779355e-05
"b3929",5439.16768342794,1.16511887564722,0.19241990097813,6.05508510151264,1.40343449755833e-09,7.58390973075471e-09
"b3930",419.879934296946,-0.99476072014707,0.232945119039825,-4.2703651583144,1.95153181950518e-05,6.34455784797972e-05
